TestMatchNumber,Wicket,Batter,dismissalMode,Fielder,Runs,innings,opponent,venue,country,matchDate,match,video,description,Milestone,fieldingPosition
,1,AB de Villiers,bowled,,65,1,v South Africa,Cape Town,South Africa,05-Jan-18,Test # 2292,bumrah-wkt-1,,,
,2,F du Plessis,caught,WP Saha,0,3,v South Africa,Cape Town,South Africa,05-Jan-18,Test # 2292,bumrah-wkt-2,,,
,3,Q de Kock,caught,WP Saha,8,3,v South Africa,Cape Town,South Africa,05-Jan-18,Test # 2292,bumrah-wkt-3,,,
,4,AB de Villiers,caught,B Kumar,35,3,v South Africa,Cape Town,South Africa,05-Jan-18,Test # 2292,bumrah-wkt-4,,,
,5,AK Markram,lbw,,1,3,v South Africa,Centurion,South Africa,13-Jan-18,Test # 2293,bumrah-wkt-5,,,
,6,HM Amla,lbw,,1,3,v South Africa,Centurion,South Africa,13-Jan-18,Test # 2293,bumrah-wkt-6,,,
,7,F du Plessis,caught,JJ Bumrah,48,3,v South Africa,Centurion,South Africa,13-Jan-18,Test # 2293,bumrah-wkt-7,,,
,8,F du Plessis,bowled,,8,2,v South Africa,Johannesburg,South Africa,24-Jan-18,Test # 2294,bumrah-wkt-8,,,
,9,Q de Kock,caught,PA Patel,8,2,v South Africa,Johannesburg,South Africa,24-Jan-18,Test # 2294,bumrah-wkt-9,,,
,10,HM Amla,caught,HH Pandya,61,2,v South Africa,Johannesburg,South Africa,24-Jan-18,Test # 2294,bumrah-wkt-10,,,
,11,AL Phehlukwayo,lbw,,9,2,v South Africa,Johannesburg,South Africa,24-Jan-18,Test # 2294,bumrah-wkt-11,,,
,12,L Ngidi,caught,PA Patel,0,2,v South Africa,Johannesburg,South Africa,24-Jan-18,Test # 2294,bumrah-wkt-12,,,
,13,AB de Villiers,caught,AM Rahane,6,4,v South Africa,Johannesburg,South Africa,24-Jan-18,Test # 2294,bumrah-wkt-13,,,
,14,Q de Kock,lbw,,0,4,v South Africa,Johannesburg,South Africa,24-Jan-18,Test # 2294,bumrah-wkt-14,,,
,15,KK Jennings,caught,RR Pant,20,2,v England,Nottingham,England,18-Aug-18,Test # 2316,bumrah-wkt-15,,,
,16,JC Buttler,caught,SN Thakur (sub),39,2,v England,Nottingham,England,18-Aug-18,Test # 2316,bumrah-wkt-16,,,
,17,JE Root,caught,KL Rahul,13,4,v England,Nottingham,England,18-Aug-18,Test # 2316,bumrah-wkt-17,,,
,18,JC Buttler,lbw,,106,4,v England,Nottingham,England,18-Aug-18,Test # 2316,bumrah-wkt-18,,,
,19,JM Bairstow,bowled,,0,4,v England,Nottingham,England,18-Aug-18,Test # 2316,bumrah-wkt-19,,,
,20,CR Woakes,caught,RR Pant,4,4,v England,Nottingham,England,18-Aug-18,Test # 2316,bumrah-wkt-20,,,
,21,SCJ Broad,caught,KL Rahul,20,4,v England,Nottingham,England,18-Aug-18,Test # 2316,bumrah-wkt-21,,,
,22,KK Jennings,lbw,,0,1,v England,Southampton,England,30-Aug-18,Test # 2317,bumrah-wkt-22,,,
,23,JM Bairstow,caught,RR Pant,6,1,v England,Southampton,England,30-Aug-18,Test # 2317,bumrah-wkt-23,,,
,24,SCJ Broad,lbw,,17,1,v England,Southampton,England,30-Aug-18,Test # 2317,bumrah-wkt-24,,,
,25,AN Cook,caught,KL Rahul,12,3,v England,Southampton,England,30-Aug-18,Test # 2317,bumrah-wkt-25,,,
,26,AN Cook,bowled,,71,1,v England,The Oval,England,07-Sep-18,Test # 2318,bumrah-wkt-26,,,
,27,JE Root,lbw,,0,1,v England,The Oval,England,07-Sep-18,Test # 2318,bumrah-wkt-27,,,
,28,AU Rashid,lbw,,15,1,v England,The Oval,England,07-Sep-18,Test # 2318,bumrah-wkt-28,,,
,29,PSP Handscomb,caught,RR Pant,34,2,v Australia,Adelaide,Australia,06-Dec-18,Test # 2333,bumrah-wkt-29,,,
,30,PJ Cummins,lbw,,10,2,v Australia,Adelaide,Australia,06-Dec-18,Test # 2333,bumrah-wkt-30,,,
